id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakedate,movementdate,Time take to move out
47756,Abandoned,Vista,Border Collie/Mix,Black and White,Dog,1 year 8 months.,Female,Foster,27/Mar/17,10/May/17,44.00
47756,Abandoned,Vista,Border Collie/Mix,Black and White,Dog,1 year 8 months.,Female,Adoption,27/Mar/17,23/Jul/18,483.00
47757,Abandoned,Honey,Border Collie/Mix,Brown and White,Dog,1 year 8 months.,Female,Foster,27/Mar/17,29/Mar/17,2.00
47757,Abandoned,Honey,Border Collie/Mix,Brown and White,Dog,1 year 8 months.,Female,Adoption,27/Mar/17,10/May/17,44.00
47759,Stray,Sam,Chihuahua/Mix,Tan,Dog,13 years 7 months.,Female,Foster,27/Mar/17,29/Mar/17,2.00
47759,Stray,Sam,Chihuahua/Mix,Tan,Dog,13 years 7 months.,Female,Adoption,27/Mar/17,22/Apr/17,26.00
47760,Abandoned,Maverick,German Shepherd Dog,Ruddy,Dog,3 years 7 months.,Male,Adoption,27/Mar/17,12/May/17,46.00
47762,Abandoned,Lola,Chihuahua,Tan,Dog,6 years 8 months.,Female,Adoption,27/Mar/17,29/Mar/17,2.00
47763,Abandoned,Robin,DSH/Unknown,Black,Cat,8 years 8 months.,Female,Adoption,,,
47764,Abandoned,Monet,Pitbull/Mix,Brown,Dog,2 years 8 months.,Female,Adoption,27/Mar/17,21/Apr/17,25.00
47765,Abandoned,Blaze,Weimaraner/Terrier,Blue,Dog,2 years 10 months.,Male,Transfer,27/Mar/17,9/May/17,43.00
47766,Abandoned,Peanut,Pit Bull Terrier,Brown,Dog,2 years 8 months.,Male,Adoption,27/Mar/17,29/Mar/17,2.00
47766,Abandoned,Peanut,Pit Bull Terrier,Brown,Dog,2 years 8 months.,Male,Adoption,27/Mar/17,9/May/17,43.00
47767,Abandoned,Xavier,DSH/Unknown,Brown and Black,Cat,6 years 2 months.,Male,Adoption,,,
47768,Abandoned,Sapphire,Domestic Medium Hair,Grey,Cat,4 years 6 months.,Female,Adoption,,,
47769,Abandoned,Enzo,Chihuahua/Miniature Pinscher,White,Dog,2 years 3 months.,Male,Adoption,27/Mar/17,22/Apr/17,26.00
47770,Abandoned,Little,Rat Terrier/Mix,Cream,Dog,7 years 8 months.,Female,Adoption,27/Mar/17,16/Jul/17,111.00
47770,Abandoned,Little,Rat Terrier/Mix,Cream,Dog,7 years 8 months.,Female,Adoption,27/Mar/17,2/Apr/17,6.00
